axis,tissue_key,condition,constrained,n_echoes,dTE_ms,snr,noise,sigma_joint,max_relSD_T2,functional,functional_value,functional_SD,delta
snr,csf,normal,0,32,10.0,20.0,rician,0,0.20712984575803875,T2 (mono-exponential),,,
snr,csf,normal,0,32,10.0,30.0,rician,0,0.1380298816364922,T2 (mono-exponential),,,
snr,csf,normal,0,32,10.0,50.0,rician,0,0.08280055460620292,T2 (mono-exponential),,,
snr,csf,normal,0,32,10.0,70.0,rician,0,0.059139837382240205,T2 (mono-exponential),,,
snr,csf,normal,0,32,10.0,100.0,rician,0,0.04139661627541132,T2 (mono-exponential),,,
snr,csf,normal,0,32,10.0,150.0,rician,0,0.02759729237292838,T2 (mono-exponential),,,
snr,csf,normal,0,32,10.0,200.0,rician,0,0.020697850688690615,T2 (mono-exponential),,,
snr,csf,normal,0,32,10.0,300.0,rician,0,0.013798510655853602,T2 (mono-exponential),,,
snr,csf,normal,0,32,10.0,500.0,rician,0,0.008279089046327294,T2 (mono-exponential),,,
snr,csf,normal,0,32,10.0,700.0,rician,0,0.005913631619318663,T2 (mono-exponential),,,
snr,csf,normal,0,32,10.0,1000.0,rician,0,0.004139540864030531,T2 (mono-exponential),,,
snr,csf,normal,0,32,10.0,1500.0,rician,0,0.0027596934576104796,T2 (mono-exponential),,,
snr,csf,normal,0,32,10.0,2000.0,rician,0,0.002069769974625416,T2 (mono-exponential),,,
snr,csf,normal,0,32,10.0,3000.0,rician,0,0.0013798465932824645,T2 (mono-exponential),,,
snr,spinal_cord_wm,normal,0,32,10.0,20.0,rician,0,179.02578539339487,myelin water fraction (mass below 40 ms),0.296,0.6111403345419156,-0.0305
snr,spinal_cord_wm,normal,0,32,10.0,30.0,rician,0,113.7335346771394,myelin water fraction (mass below 40 ms),0.296,0.39688958581911543,-0.0305
snr,spinal_cord_wm,normal,0,32,10.0,50.0,rician,0,66.70330798805024,myelin water fraction (mass below 40 ms),0.296,0.23522629860733338,-0.0305
snr,spinal_cord_wm,normal,0,32,10.0,70.0,rician,0,47.393170185311924,myelin water fraction (mass below 40 ms),0.296,0.16752990443335286,-0.0305
snr,spinal_cord_wm,normal,0,32,10.0,100.0,rician,0,33.0870166082357,myelin water fraction (mass below 40 ms),0.296,0.11709827184329351,-0.0305
snr,spinal_cord_wm,normal,0,32,10.0,150.0,rician,0,22.027465383119132,myelin water fraction (mass below 40 ms),0.296,0.07800547475676381,-0.0305
