N,dTE,t_min,t_max,T_min,T_max,gamma,SNR,n_per_sample,bbp,s1_over_s0,s2_over_s0,s3_over_s0,s4_over_s0,picard_2c,picardraw_2c,energy_2c,picard_3c,picardraw_3c,energy_3c
64,10.0,10.0,640.0,10.0,1000.0,100.0,30,4,3.5,0.2833772554955718,0.09933208563539676,0.03493152985895601,0.011653758190720839,4,4,4,3,4,4
64,10.0,10.0,640.0,10.0,1000.0,100.0,100,5,4.62,0.2833772554955718,0.09933208563539676,0.03493152985895601,0.011653758190720839,5,5,5,5,4,5
64,10.0,10.0,640.0,10.0,1000.0,100.0,300,6,5.65,0.2833772554955718,0.09933208563539676,0.03493152985895601,0.011653758190720839,6,7,6,6,6,6
64,10.0,10.0,640.0,10.0,1000.0,100.0,1000,7,6.77,0.2833772554955718,0.09933208563539676,0.03493152985895601,0.011653758190720839,6,7,7,7,7,7
64,10.0,10.0,640.0,5.0,2000.0,400.0,30,3,4.55,0.26044280441369233,0.09044272189963581,0.03330245292047256,0.012203675458615013,4,4,4,3,4,4
64,10.0,10.0,640.0,5.0,2000.0,400.0,100,5,6.01,0.26044280441369233,0.09044272189963581,0.03330245292047256,0.012203675458615013,5,5,5,4,4,5
64,10.0,10.0,640.0,5.0,2000.0,400.0,300,6,7.35,0.26044280441369233,0.09044272189963581,0.03330245292047256,0.012203675458615013,7,7,6,7,4,6
64,10.0,10.0,640.0,5.0,2000.0,400.0,1000,7,8.81,0.26044280441369233,0.09044272189963581,0.03330245292047256,0.012203675458615013,8,7,7,8,4,7
64,10.0,10.0,640.0,1.0,10000.0,10000.0,30,3,6.99,0.2089079678994225,0.06965471918582283,0.025424017257762832,0.009386074138244802,4,4,4,4,4,4
64,10.0,10.0,640.0,1.0,10000.0,10000.0,100,4,9.24,0.2089079678994225,0.06965471918582283,0.025424017257762832,0.009386074138244802,5,4,5,5,4,5
64,10.0,10.0,640.0,1.0,10000.0,10000.0,300,6,11.29,0.2089079678994225,0.06965471918582283,0.025424017257762832,0.009386074138244802,7,4,6,7,7,6
64,10.0,10.0,640.0,1.0,10000.0,10000.0,1000,7,13.54,0.2089079678994225,0.06965471918582283,0.025424017257762832,0.009386074138244802,8,7,7,8,8,7
64,5.0,5.0,320.0,10.0,100.0,10.0,30,3,1.75,0.2512435928530433,0.06788278740347525,0.017689398278097488,0.004370336899312962,3,3,4,6,6,4
64,5.0,5.0,320.0,10.0,100.0,10.0,100,4,2.31,0.2512435928530433,0.06788278740347525,0.017689398278097488,0.004370336899312962,4,3,5,7,7,5
64,5.0,5.0,320.0,10.0,100.0,10.0,300,5,2.82,0.2512435928530433,0.06788278740347525,0.017689398278097488,0.004370336899312962,4,3,5,8,8,5
64,5.0,5.0,320.0,10.0,100.0,10.0,1000,6,3.38,0.2512435928530433,0.06788278740347525,0.017689398278097488,0.004370336899312962,6,6,6,9,9,6
64,5.0,5.0,320.0,10.0,1000.0,100.0,30,3,3.5,0.2574034724145466,0.08234862471855611,0.024842286846408254,0.006770237610494405,4,4,4,3,3,4
64,5.0,5.0,320.0,10.0,1000.0,100.0,100,4,4.62,0.2574034724145466,0.08234862471855611,0.024842286846408254,0.006770237610494405,5,5,5,4,5,5
64,5.0,5.0,320.0,10.0,1000.0,100.0,300,5,5.65,0.2574034724145466,0.08234862471855611,0.024842286846408254,0.006770237610494405,6,6,6,6,5,6
64,5.0,5.0,320.0,10.0,1000.0,100.0,1000,6,6.77,0.2574034724145466,0.08234862471855611,0.024842286846408254,0.006770237610494405,6,6,6,6,7,6
64,5.0,5.0,320.0,5.0,2000.0,400.0,30,3,4.55,0.23583023866426475,0.07913247370491407,0.027654207357689326,0.009266188072532405,4,4,4,4,4,4
64,5.0,5.0,320.0,5.0,2000.0,400.0,100,4,6.01,0.23583023866426475,0.07913247370491407,0.027654207357689326,0.009266188072532405,5,6,5,5,5,5
64,5.0,5.0,320.0,5.0,2000.0,400.0,300,5,7.35,0.23583023866426475,0.07913247370491407,0.027654207357689326,0.009266188072532405,6,6,6,6,6,6
64,5.0,5.0,320.0,5.0,2000.0,400.0,1000,6,8.81,0.23583023866426475,0.07913247370491407,0.027654207357689326,0.009266188072532405,7,7,7,7,8,7
64,5.0,5.0,320.0,1.0,10000.0,10000.0,30,3,6.99,0.19254473811318643,0.06353735962187008,0.02311128380523705,0.008519057100865639,5,2,4,3,2,4
64,5.0,5.0,320.0,1.0,10000.0,10000.0,100,4,9.24,0.19254473811318643,0.06353735962187008,0.02311128380523705,0.008519057100865639,6,6,5,5,5,5
64,5.0,5.0,320.0,1.0,10000.0,10000.0,300,5,11.29,0.19254473811318643,0.06353735962187008,0.02311128380523705,0.008519057100865639,6,6,6,6,6,6
64,5.0,5.0,320.0,1.0,10000.0,10000.0,1000,7,13.54,0.19254473811318643,0.06353735962187008,0.02311128380523705,0.008519057100865639,8,7,7,8,6,7
32,20.0,20.0,640.0,10.0,100.0,10.0,30,3,1.75,0.20511019558714388,0.04851126824127559,0.011650790238371534,0.0027863797193571935,2,2,3,6,6,3
32,20.0,20.0,640.0,10.0,100.0,10.0,100,4,2.31,0.20511019558714388,0.04851126824127559,0.011650790238371534,0.0027863797193571935,3,3,4,8,8,4
32,20.0,20.0,640.0,10.0,100.0,10.0,300,4,2.82,0.20511019558714388,0.04851126824127559,0.011650790238371534,0.0027863797193571935,4,4,4,10,10,4
32,20.0,20.0,640.0,10.0,100.0,10.0,1000,5,3.38,0.20511019558714388,0.04851126824127559,0.011650790238371534,0.0027863797193571935,5,5,5,11,11,5
32,20.0,20.0,640.0,10.0,1000.0,100.0,30,3,3.5,0.2683922580780752,0.08637398802299133,0.02786548814053639,0.008602868466821132,3,4,3,3,3,3
32,20.0,20.0,640.0,10.0,1000.0,100.0,100,4,4.62,0.2683922580780752,0.08637398802299133,0.02786548814053639,0.008602868466821132,4,4,4,4,4,5
32,20.0,20.0,640.0,10.0,1000.0,100.0,300,5,5.65,0.2683922580780752,0.08637398802299133,0.02786548814053639,0.008602868466821132,5,6,5,5,6,5
32,20.0,20.0,640.0,10.0,1000.0,100.0,1000,6,6.77,0.2683922580780752,0.08637398802299133,0.02786548814053639,0.008602868466821132,7,7,6,6,6,6
32,20.0,20.0,640.0,5.0,2000.0,400.0,30,3,4.55,0.24786423515108635,0.07817596339338316,0.025380797261546083,0.008060831036708179,3,4,3,3,3,3
32,20.0,20.0,640.0,5.0,2000.0,400.0,100,4,6.01,0.24786423515108635,0.07817596339338316,0.025380797261546083,0.008060831036708179,4,4,4,5,4,4
32,20.0,20.0,640.0,5.0,2000.0,400.0,300,5,7.35,0.24786423515108635,0.07817596339338316,0.025380797261546083,0.008060831036708179,5,4,5,5,6,5
32,20.0,20.0,640.0,5.0,2000.0,400.0,1000,6,8.81,0.24786423515108635,0.07817596339338316,0.025380797261546083,0.008060831036708179,7,4,6,5,6,6
32,20.0,20.0,640.0,1.0,10000.0,10000.0,30,3,6.99,0.20007203190438022,0.06078408018107203,0.019520894018308636,0.006181618760372844,4,4,3,4,3,3
32,20.0,20.0,640.0,1.0,10000.0,10000.0,100,4,9.24,0.20007203190438022,0.06078408018107203,0.019520894018308636,0.006181618760372844,5,4,4,5,5,4
32,20.0,20.0,640.0,1.0,10000.0,10000.0,300,5,11.29,0.20007203190438022,0.06078408018107203,0.019520894018308636,0.006181618760372844,6,6,5,6,6,5
32,20.0,20.0,640.0,1.0,10000.0,10000.0,1000,6,13.54,0.20007203190438022,0.06078408018107203,0.019520894018308636,0.006181618760372844,7,7,6,7,6,6
